TimeGenerated,Computer,EventID,EventLevelName,RenderedDescription,Source
2026-02-14 05:11:49.700133+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""6156"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""340"",""EHNumResponses"":""283"",""EHNumErrors"":""2"",""EHCriticalRequests"":""38"",""EHHttpCodes"":""200:1;201:279;401:1"",""EHErrorCodes"":""0x80004005:2""}",WVDCheckpoints
2026-02-13 16:17:05.027202+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""9626"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""1"",""EHNumResponses"":""1"",""EHNumErrors"":""2"",""EHCriticalRequests"":""0"",""EHHttpCodes"":"""",""EHErrorCodes"":""0x80072efe:2""}",WVDCheckpoints
2026-02-13 10:20:26.283864+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""1938"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""306"",""EHNumResponses"":""116"",""EHNumErrors"":""5"",""EHCriticalRequests"":""31"",""EHHttpCodes"":""200:1;201:109;401:1"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:3""}",WVDCheckpoints
2026-02-12 22:26:38.554208+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3000047"",""DisconnectCodeSymbolic"":""PROXY_ERR_RESOURCE_UNKOWN_FAILURE"",""DisconnectMessage"":""Orchestration error"",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x80075a26"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""1"",""IsServerStackInitiated"":""0"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":"""",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""26"",""EHNumResponses"":""17"",""EHNumErrors"":""0"",""EHCriticalRequests"":""2"",""EHHttpCodes"":""200:1;201:15;401:1""}",WVDCheckpoints
2026-02-11 14:26:50.020998+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""2030"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""404"",""EHNumResponses"":""310"",""EHNumErrors"":""3"",""EHCriticalRequests"":""37"",""EHHttpCodes"":""200:1;201:305;401:1"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:1""}",WVDCheckpoints
2026-02-09 12:48:21.837154+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""5752"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""649"",""EHNumResponses"":""536"",""EHNumErrors"":""6"",""EHCriticalRequests"":""39"",""EHHttpCodes"":""200:1;201:528;401:1"",""EHErrorCodes"":""0x80004005:4;0x80072ee2:2""}",WVDCheckpoints
2026-02-09 10:57:19.063990+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""7245"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""311"",""EHNumResponses"":""82"",""EHNumErrors"":""5"",""EHCriticalRequests"":""30"",""EHHttpCodes"":""200:1;201:75;401:1"",""EHErrorCodes"":""0x80004005:3;0x80072ee2:1;0x80072efe:1""}",WVDCheckpoints
2026-02-06 00:05:56.199124+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3000047"",""DisconnectCodeSymbolic"":""PROXY_ERR_RESOURCE_UNKOWN_FAILURE"",""DisconnectMessage"":""Orchestration error"",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x80075a25"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""1"",""IsServerStackInitiated"":""0"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":"""",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""28"",""EHNumResponses"":""20"",""EHNumErrors"":""0"",""EHCriticalRequests"":""2"",""EHHttpCodes"":""200:1;201:18;401:1""}",WVDCheckpoints
2026-02-04 10:19:57.017556+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectOperation"":""ClientRDPConnect"",""DisconnectProxyCode"":""0x0"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""4849"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""427"",""EHNumResponses"":""411"",""EHNumErrors"":""74"",""EHCriticalRequests"":""49"",""EHHttpCodes"":""200:1;201:335;401:1"",""EHErrorCodes"":""0x80004005:74""}",WVDCheckpoints
2026-02-02 13:43:06.931521+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""EHNumRequests"":""436"",""EHNumResponses"":""344"",""EHNumErrors"":""5"",""EHHttpCodes"":""200:1;201:337;401:1"",""TimeToDetectDisconnectActual"":""1718"",""TimeToDetectDisconnectNominal"":"""",""EHCriticalRequests"":""37"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:3""}",WVDCheckpoints
2026-02-02 06:00:45.215259+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""1712"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""384"",""EHNumResponses"":""308"",""EHNumErrors"":""9"",""EHCriticalRequests"":""45"",""EHHttpCodes"":""200:1;201:297;401:1"",""EHErrorCodes"":""0x80004005:5;0x80072ee2:4""}",WVDCheckpoints
2026-02-02 04:30:49.759152+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""9418"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""468"",""EHNumResponses"":""299"",""EHNumErrors"":""9"",""EHCriticalRequests"":""44"",""EHHttpCodes"":""200:1;201:288;401:1"",""EHErrorCodes"":""0x80004005:4;0x80072ee2:5""}",WVDCheckpoints
2026-01-30 13:47:11.948358+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""EHNumRequests"":""530"",""EHNumResponses"":""441"",""EHNumErrors"":""11"",""EHHttpCodes"":""200:1;201:428;401:1"",""TimeToDetectDisconnectActual"":""5797"",""TimeToDetectDisconnectNominal"":"""",""EHCriticalRequests"":""51"",""EHErrorCodes"":""0x80004005:6;0x80072ee2:5""}",WVDCheckpoints
2026-01-30 08:41:21.191444+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""EHNumRequests"":""461"",""EHNumResponses"":""367"",""EHNumErrors"":""10"",""EHHttpCodes"":""200:1;201:355;401:1"",""TimeToDetectDisconnectActual"":""2755"",""TimeToDetectDisconnectNominal"":"""",""EHCriticalRequests"":""46"",""EHErrorCodes"":""0x80004005:6;0x80072ee2:4""}",WVDCheckpoints
2026-01-30 05:23:30.549913+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""EHNumRequests"":""415"",""EHNumResponses"":""325"",""EHNumErrors"":""8"",""EHHttpCodes"":""200:1;201:315;401:1"",""TimeToDetectDisconnectActual"":""1869"",""TimeToDetectDisconnectNominal"":"""",""EHCriticalRequests"":""40"",""EHErrorCodes"":""0x80004005:6;0x80072ee2:2""}",WVDCheckpoints
2026-01-29 14:00:06.936497+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""3843"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""412"",""EHNumResponses"":""371"",""EHNumErrors"":""4"",""EHCriticalRequests"":""39"",""EHHttpCodes"":""200:1;201:365;401:1"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:2""}",WVDCheckpoints
2026-01-28 04:53:24.415824+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""6054"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""431"",""EHNumResponses"":""415"",""EHNumErrors"":""59"",""EHCriticalRequests"":""43"",""EHHttpCodes"":""200:1;201:354;401:1"",""EHErrorCodes"":""0x80004005:56;0x80072ee2:3""}",WVDCheckpoints
2026-01-27 15:51:16.447342+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""3476"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""570"",""EHNumResponses"":""455"",""EHNumErrors"":""7"",""EHCriticalRequests"":""47"",""EHHttpCodes"":""200:1;201:446;401:1"",""EHErrorCodes"":""0x80004005:4;0x80072ee2:3""}",WVDCheckpoints
2026-01-27 09:53:04.441459+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""7820"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""389"",""EHNumResponses"":""134"",""EHNumErrors"":""5"",""EHCriticalRequests"":""39"",""EHHttpCodes"":""200:1;201:127;401:1"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:3""}",WVDCheckpoints
2026-01-27 05:21:37.575766+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""2568"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""417"",""EHNumResponses"":""357"",""EHNumErrors"":""6"",""EHCriticalRequests"":""43"",""EHHttpCodes"":""200:1;201:349;401:1"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:4""}",WVDCheckpoints
2026-01-23 02:51:45.749277+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3000043"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""The client experienced an internal error loading the SSL libraries. Verify the SSL configuration on the computer hosting the client process."",""DisconnectCodeSymbolic"":""ErrorLoadingSslLibraries"",""DisconnectOperation"":""NetworkConnection"",""IsInternal"":""False"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""0"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""22215"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""21"",""EHNumResponses"":""1"",""EHNumErrors"":""0"",""EHCriticalRequests"":""1"",""EHHttpCodes"":""201:1""}",WVDCheckpoints
2026-01-22 13:57:49.150763+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""6521"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""377"",""EHNumResponses"":""307"",""EHNumErrors"":""5"",""EHCriticalRequests"":""40"",""EHHttpCodes"":""201:302"",""EHErrorCodes"":""0x80004005:4;0x80072ee2:1""}",WVDCheckpoints
2026-01-21 22:27:15.263619+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""9148"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""398"",""EHNumResponses"":""327"",""EHNumErrors"":""7"",""EHCriticalRequests"":""36"",""EHHttpCodes"":""200:1;201:318;401:1"",""EHErrorCodes"":""0x80004005:5;0x80072ee2:2""}",WVDCheckpoints
2026-01-20 08:59:36.427497+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""2457"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""465"",""EHNumResponses"":""397"",""EHNumErrors"":""4"",""EHCriticalRequests"":""38"",""EHHttpCodes"":""200:1;201:391;401:1"",""EHErrorCodes"":""0x80004005:2;0x80072ee2:2""}",WVDCheckpoints
2026-01-19 14:17:44.836796+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""3563"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""425"",""EHNumResponses"":""345"",""EHNumErrors"":""3"",""EHCriticalRequests"":""37"",""EHHttpCodes"":""200:1;201:340;401:1"",""EHErrorCodes"":""0x80072ee2:3""}",WVDCheckpoints
2026-01-19 10:38:59.627779+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3"",""DisconnectProxyCode"":""0x0"",""DisconnectMessage"":""Your Remote Desktop Services session has ended, possibly for one of the following reasons:\n\nThe administrator has ended the session.\nAn error occurred while the connection was being established.\nA network problem occurred."",""DisconnectCodeSymbolic"":""StackInitiatedDisconnect"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""0"",""IsServerStackInitiated"":""1"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""6661"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""451"",""EHNumResponses"":""338"",""EHNumErrors"":""11"",""EHCriticalRequests"":""45"",""EHHttpCodes"":""200:1;201:325;401:1"",""EHErrorCodes"":""0x80004005:9;0x80072ee2:2""}",WVDCheckpoints
2026-01-19 10:30:59.978295+00:00,Client,,Error,"Checkpoint=OnClientDisconnected; Parameters={""DisconnectCode"":""0x3000047"",""DisconnectProxyCode"":""0x80075a26"",""DisconnectMessage"":""Orchestration error"",""DisconnectCodeSymbolic"":""PROXY_ERR_RESOURCE_UNKOWN_FAILURE"",""DisconnectOperation"":""ClientRDPConnect"",""IsInternal"":""True"",""IsUserInitiated"":""0"",""IsProxyServerInitiated"":""1"",""IsServerStackInitiated"":""0"",""PopErrorUI"":""1"",""TimeToDetectDisconnectActual"":""25453"",""TimeToDetectDisconnectNominal"":"""",""EHNumRequests"":""2"",""EHNumResponses"":""1"",""EHNumErrors"":""0"",""EHCriticalRequests"":""1"",""EHHttpCodes"":""201:1""}",WVDCheckpoints
